experiment,time_stamps,fish_num,exp_type,bio_rep,tech_rep,fish_cohort,fps_Hz,rig_mm,vid_px,body_length,experiment_date
labels.vDavid_all_2wks.009_2wpf_061622_4.analysis.h5,NA,4,2wpf,,1,NA,121,150,1000,6,Davids_data_development
labels.vDavid_4wpf_060222_1.analysis.h5,NA,4,4wpf,,1,NA,121,150,1000,8,Davids_data_development
labels.vDavid_all_2wks.008_2wpf_061622_3.analysis.h5,NA,4,2wpf,,1,NA,121,150,1000,6,Davids_data_development
labels.vDavid_all_2wks.007_2wpf_061622_2.analysis.h5,NA,4,2wpf,,1,NA,121,150,1000,6,Davids_data_development
labels.vDavid_all_2wks.006_2wpf_061622_1.analysis.h5,NA,4,2wpf,,1,NA,121,150,1000,6,Davids_data_development
labels.vDavid_all_2wks.005_2wpf_091522_6.analysis.h5,NA,4,2wpf,,1,NA,121,150,1000,6,Davids_data_development
labels.vDavid_all_2wks.004_2wpf_091522_5.analysis.h5,NA,4,2wpf,,1,NA,121,150,1000,6,Davids_data_development
labels.vDavid_all_2wks.003_2wpf_091522_4.analysis.h5,NA,4,2wpf,,1,NA,121,150,1000,6,Davids_data_development
labels.vDavid_all_2wks.002_2wpf_091522_3.analysis.h5,NA,4,2wpf,,1,NA,121,150,1000,6,Davids_data_development
labels.vDavid_all_2wks.001_2wpf_091522_2.analysis.h5,NA,4,2wpf,,1,NA,121,150,1000,6,Davids_data_development
labels.vDavid_all_2wks.000_2wpf_091522_1.analysis.h5,NA,4,2wpf,,1,NA,121,150,1000,6,Davids_data_development
labels.vDavid_8wpf_091622_2.analysis.h5,NA,4,8wpf,,1,NA,121,350,1000,12,Davids_data_development
labels.vDavid_8wpf_091622_1.analysis.h5,NA,4,8wpf,,1,NA,121,350,1000,12,Davids_data_development
labels.vDavid_8wpf_070122_3.analysis.h5,NA,4,8wpf,,1,NA,121,350,1000,12,Davids_data_development
labels.vDavid_8wpf_070122_2.analysis.h5,NA,4,8wpf,,1,NA,121,350,1000,12,Davids_data_development
labels.vDavid_8wpf_070122_1.analysis.h5,NA,4,8wpf,,1,NA,121,350,1000,12,Davids_data_development
labels.vDavid_8wpf_062922_2.analysis.h5,NA,4,8wpf,,1,NA,121,350,1000,12,Davids_data_development
labels.vDavid_8wpf_062922_1.analysis.h5,NA,4,8wpf,,1,NA,121,350,1000,12,Davids_data_development
labels.vDavid_6wpf_091522_5.analysis.h5,NA,4,6wpf,,1,NA,121,350,1000,10,Davids_data_development
labels.vDavid_6wpf_091522_4.analysis.h5,NA,4,6wpf,,1,NA,121,350,1000,10,Davids_data_development
